network,mean_bc,std_bc,m_bc,M_bc,mean_cc,std_cc,m_cc,M_cc,mean_cl,std_cl,m_cl,M_cl,mean_ds,std_ds,m_ds,M_ds,mean_sv,std_sv,m_sv,M_sv,diameter,,
ba_053.csv,0.002820296,0.005265789,9.93E-05,0.058745077,0.263695811,0.02333425,0.216374269,0.367549669,0.013365452,0.046979541,0,0.333333333,5.982,4.406255904,3,39,1.949050844,1.477565838,0.001517752,10.64638126,6,,
ba_054.csv,0.002798218,0.005702552,2.52E-05,0.087182553,0.265348353,0.024245386,0.217410229,0.379992393,0.012419466,0.048580023,0,0.666666667,5.982,4.562070636,3,51,1.946221346,1.481290812,0.002009554,11.03565388,6,,
ba_055.csv,0.002806308,0.005360274,8.94E-05,0.061239842,0.264726472,0.023764886,0.21414791,0.369179601,0.01152766,0.045225911,0,0.333333333,5.982,4.525058249,3,40,1.943718963,1.484572866,0.001059496,10.79085617,6,,
ba_056.csv,0.002430609,0.004149001,0.000136451,0.056894514,0.293324416,0.024033672,0.245816929,0.40642799,0.014777092,0.038300964,0,0.333333333,7.968,5.461025435,4,53,2.261851119,1.688795285,0.00248575,13.54335557,6,,
ba_057.csv,0.002428312,0.004193414,0.000116824,0.04132392,0.293575057,0.024409228,0.247093742,0.396585947,0.015260017,0.037332695,0,0.333333333,7.968,5.567582417,4,46,2.257935232,1.694027298,0.003631673,13.69290607,5,,
ba_058.csv,0.002426585,0.004518766,0.000143415,0.068053139,0.29379497,0.02488892,0.247890819,0.411619283,0.013577979,0.034044881,0,0.333333333,7.968,5.636021712,4,61,2.258117152,1.693784794,0.000453479,14.11477533,6,,
ba_059.csv,0.002422084,0.004274392,0.000124506,0.045026441,0.294151565,0.024673313,0.246605776,0.393152302,0.015885831,0.038068942,0,0.333333333,7.968,5.71993826,4,49,2.252957462,1.700641841,0.001221843,13.79165112,6,,
ba_060.csv,0.00242759,0.00452934,0.000137372,0.072842362,0.293652602,0.024569328,0.248940942,0.420277661,0.015701764,0.038359465,0,0.333333333,7.968,5.613241887,4,64,2.261649932,1.689064707,0.001265307,14.19910213,5,,
ba_061.csv,0.002436677,0.004248073,0.000143154,0.047194828,0.292890483,0.024501494,0.242593492,0.398961661,0.016541291,0.037059131,0,0.333333333,7.968,5.4950133,4,49,2.265500909,1.683895968,0.002081955,13.63926818,6,,
ba_062.csv,0.002424104,0.004392498,0.000081633,0.04516355,0.294057401,0.025178669,0.242181818,0.404453441,0.018484784,0.037852957,0,0.333333333,7.968,5.744734805,4,49,2.256272447,1.696241329,0.002931514,14.11747652,6,,
ba_063.csv,0.002431387,0.003992218,0.000127956,0.034657422,0.293284454,0.024170938,0.2495005,0.388867264,0.013689674,0.031639337,0,0.2,7.968,5.46597227,4,42,2.262272302,1.688231036,0.000424417,13.41645478,5,,
ba_064.csv,0.002422583,0.004424167,0.000125735,0.055087965,0.294087712,0.024545616,0.240838959,0.405767669,0.017355478,0.038134439,0,0.3,7.968,5.64684539,4,54,2.256786927,1.695556772,0.000645046,13.75022078,6,,
ba_065.csv,0.002413007,0.004657916,0.000137851,0.056382315,0.294972331,0.025025352,0.247154874,0.405767669,0.018071908,0.039821749,0,0.333333333,7.968,5.827429531,4,56,2.252886081,1.700736401,0.000616723,14.15249737,5,,
ba_066.csv,0.002421169,0.004531575,0.000139659,0.063629778,0.294267752,0.024954803,0.244912969,0.407090465,0.016843705,0.038309123,0,0.333333333,7.968,5.76525925,4,58,2.258808227,1.692863076,0.005791739,13.89364,6,,
ba_067.csv,0.002419664,0.00431378,0.000161774,0.045843011,0.294330026,0.024577097,0.242475728,0.399919936,0.017039349,0.038212649,0,0.333333333,7.968,5.62980201,4,47,2.255782483,1.696892863,0.000557416,13.6857975,6,,
ba_068.csv,0.002418218,0.004508307,0.000129927,0.055846678,0.294482683,0.024742515,0.24443357,0.409930242,0.017858112,0.043603685,0,0.5,7.968,5.672843833,4,54,2.254918455,1.69804086,0.000842259,13.85150689,6,,
ba_069.csv,0.002436296,0.00417522,0.000148786,0.043116343,0.292863667,0.024167548,0.245153374,0.397691083,0.01527967,0.039218288,0,0.5,7.968,5.461758582,4,47,2.264320004,1.685483586,0.003589305,13.67887129,6,,
ba_070.csv,0.002404643,0.004758909,0.000125333,0.071138993,0.295703853,0.025137019,0.247277228,0.41625,0.016691157,0.037651569,0,0.333333333,7.968,5.880949036,4,62,2.250454836,1.70395218,1.14E-05,14.08571084,5,,
ba_071.csv,0.002404637,0.004771747,0.000131701,0.052378909,0.295697135,0.025081477,0.24807549,0.408421913,0.015014415,0.035296759,0,0.333333333,7.968,5.835497325,4,52,2.249564257,1.705127753,0.003557524,13.98643632,6,,
ba_072.csv,0.002414481,0.004620324,0.000152979,0.074073313,0.294820481,0.024814938,0.245635604,0.411958763,0.016218005,0.037694676,0,0.333333333,7.968,5.764043737,4,69,2.25336101,1.700107102,0.00083126,13.92272288,6,,
